"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
201,"HOUSE OF DELEGATES, 83rd District (Vote For 1)","JR WOLFE","DEM",1217,29.25,0,4241,1,1,"0","0"
202,"HOUSE OF DELEGATES, 84th District (Vote For 1)","D. R. (BUCK) JENNINGS","REP",3531,72.02,0,5028,1,1,"0","0"
203,"HOUSE OF DELEGATES, 84th District (Vote For 1)","LISA HYRE","DEM",1372,27.98,0,5028,1,1,"0","0"
204,"HOUSE OF DELEGATES, 85th District (Vote For 1)","JOHN PAUL HOTT II","REP",5064,100.00,0,6471,2,2,"0","0"
205,"HOUSE OF DELEGATES, 86th District (Vote For 1)","BRYAN C. WARD","REP",3796,77.41,0,5115,2,2,"0","0"
206,"HOUSE OF DELEGATES, 86th District (Vote For 1)","JAMESON PAUL FREEMAN","DEM",1108,22.59,0,5115,2,2,"0","0"
207,"HOUSE OF DELEGATES, 87th District (Vote For 1)","GARY HOWELL","REP",3453,69.59,0,5055,1,1,"0","0"
208,"HOUSE OF DELEGATES, 87th District (Vote For 1)","DAVID BODEN","DEM",1509,30.41,0,5055,1,1,"0","0"
209,"HOUSE OF DELEGATES, 88th District (Vote For 1)","RICK HILLENBRAND","REP",4534,100.00,0,5136,2,2,"0","0"
210,"HOUSE OF DELEGATES, 89th District (Vote For 1)","DARREN J. THORNE","REP",3789,75.15,0,5357,2,2,"0","0"
211,"HOUSE OF DELEGATES, 89th District (Vote For 1)","ROBERT B. WOLFORD","IND",1253,24.85,0,5357,2,2,"0","0"
212,"HOUSE OF DELEGATES, 90th District (Vote For 1)","GEORGE MILLER","REP",5046,100.00,0,6005,2,2,"0","0"
213,"HOUSE OF DELEGATES, 91st District (Vote For 1)","DON FORSHT","REP",2531,60.30,0,4603,1,1,"0","0"
214,"HOUSE OF DELEGATES, 91st District (Vote For 1)","S. MARSHALL WILSON","ACT",1666,39.70,0,4603,1,1,"0","0"
215,"HOUSE OF DELEGATES, 92nd District (Vote For 1)","MICHAEL HITE","REP",4075,100.00,0,5137,1,1,"0","0"
216,"HOUSE OF DELEGATES, 93rd District (Vote For 1)","MICHAEL HORNBY","REP",2347,63.38,0,3822,1,1,"0","0"
